Country,State,Year,Gender,Type Of Classes,"Gross Enrolment Ratio (Ger) (UOM:Ratio), Scaling Factor:1"
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),139.2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),144.4
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),101.6
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),119.9
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),136.8
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),147
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),138.2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),145.2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),108.9
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),123.4
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),138.9
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),82.8
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),36
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),73.8
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),24.7
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),30.6
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),66.3
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),78
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),26.7
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),68.4
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),18.1
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),22.5
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),60.9
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),80.6
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),31.7
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),71.2
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),21.7
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),26.9
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),63.8
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),134.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),42.7
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),115.5
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),11.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),27.6
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),99
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),131.6
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),39
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),112.4
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),9.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),24.5
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),95.5
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),132.8
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),40.9
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),114
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),10.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),26
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),97.3
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),106.7
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),73.3
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),99.9
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),38.9
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),56.6
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),90.1
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),103.1
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),72.2
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),97.1
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),37.2
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),55.7
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),88.3
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),104.9
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),72.8
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),98.5
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),38.1
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),56.2
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),89.2
India,Kerala,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),140.7
India,Kerala,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),91.9
India,Kerala,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),130.8
India,Kerala,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),24.7
India,Kerala,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),59.5
India,Kerala,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),114
India,Kerala,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),135.4
India,Kerala,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),98.3
India,Kerala,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),127.9
India,Kerala,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),25.8
India,Kerala,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),62.3
India,Kerala,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),111
India,Kerala,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),138.1
India,Kerala,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),95
India,Kerala,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),129.4
India,Kerala,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),25.3
India,Kerala,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),60.9
India,Kerala,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),112.5
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),78.5
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),70.2
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),76.8
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),76.3
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),72.9
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),76.7
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),85.8
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),74.6
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),83.5
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),84.4
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),79.1
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),83.7
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),82
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),72.4
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),80.1
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),80.3
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),76
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),80.1
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),132.4
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),60
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),119.4
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),35.6
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),48.5
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),108
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),137.3
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),36.6
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),119.1
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),22.2
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),29.5
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),104.8
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),134.8
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),48.5
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),119.3
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),28.7
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),39
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),106.4
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),115.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),56.5
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),104.6
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),51.2
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),54
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),96.8
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),112.7
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),40.8
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),98.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),41.2
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),41
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),90.1
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),114.4
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),49
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),101.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),46.3
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),47.7
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),93.6
India,Manipur,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),154.8
India,Manipur,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),63.4
India,Manipur,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),133.1
India,Manipur,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),16.5
India,Manipur,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),40.4
India,Manipur,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),111.3
India,Manipur,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),136.4
India,Manipur,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),54.8
India,Manipur,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),117.2
India,Manipur,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),14.1
India,Manipur,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),34.2
India,Manipur,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),97.1
India,Manipur,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),145.8
India,Manipur,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),59.2
India,Manipur,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),125.3
India,Manipur,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),15.3
India,Manipur,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),37.3
India,Manipur,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),104.3
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),148.8
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),47.7
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),128.4
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),10.3
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),28.6
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),107.9
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),153.8
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),52.1
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),133
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),12.8
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),32.1
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),112.1
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),151.3
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),49.9
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),130.7
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),11.5
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),30.4
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),110
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),159.4
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),76.8
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),141
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),42
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),58.7
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),121.7
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),148.9
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),79.7
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),133.5
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),40.7
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),59
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),114.8
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),154.2
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),78.2
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),137.3
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),41.3
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),58.8
India,Mizoram,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),118.3
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),88.7
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),28.9
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),74.3
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),18.3
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),23.5
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),63.1
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),86.7
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),30.6
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),73.4
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),17.5
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),23.9
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),62.2
India,Nagaland,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),87.7
